t,value
1597515515,-1
1597515518,-1
1597515521,-1
1597515524,-1
1597515527,-1
1597515530,-1
1597515533,-1
1597515536,-1
1597515539,-1
1597515542,-1
1597515545,-1
1597515548,-1
1597515551,-1
1597515554,-1
1597515557,-1
1597515560,-1
1597515563,-1
1597515566,-1
1597515569,-1
1597515572,-1
1597515575,-1
1597515578,-1
1597515581,-1
1597515584,-1
1597515587,-1
1597515590,-1
1597515593,-1
1597515596,-1
1597515599,-1
1597515602,-1
1597515605,-1
1597515608,-1
1597515611,-1
1597515614,-1
1597515617,-1
1597515620,-1
1597515623,-1
1597515626,-1
1597515629,-1
1597515632,-1
1597515635,-1
1597515638,-1
1597515641,-1
1597515644,-1
1597515647,-1
1597515650,-1
1597515653,-1
1597515656,-1
1597515659,-1
1597515662,-1
1597515665,-1
1597515668,-1
1597515671,-1
1597515674,-1
1597515677,-1
1597515680,-1
1597515683,-1
1597515686,-1
1597515689,-1
1597515692,-1
1597515695,-1
1597515698,-1
1597515701,-1
1597515704,-1
1597515707,-1
1597515710,-1
1597515713,-1
1597515716,-1
1597515719,-1
1597515722,-1
1597515725,-1
1597515728,-1
1597515731,-1
1597515734,-1
1597515737,-1
1597515740,-1
1597515743,-1
1597515746,-1
1597515749,-1
1597515752,-1
1597515755,-1
1597515758,-1
1597515761,-1
1597515764,-1
1597515767,-1
1597515770,-1
1597515773,-1
1597515776,-1
1597515779,-1
1597515782,-1
1597515785,-1
1597515788,-1
1597515791,-1
1597515794,-1
1597515797,-1
1597515800,-1
1597515803,-1
1597515806,-1
1597515809,-1
1597515812,-1
1597515815,-1
1597515818,-1
1597515821,-1
1597515824,-1
1597515827,-1
1597515830,-1
1597515833,-1
1597515836,-1
1597515839,-1
1597515842,-1
1597515845,-1
1597515848,-1
1597515851,-1
1597515854,-1
1597515857,-1
1597515860,-1
1597515863,-1
1597515866,-1
1597515869,-1
1597515872,-1
1597515875,-1
1597515878,-1
1597515881,-1
1597515884,-1
1597515887,-1
1597515890,-1
1597515893,-1
1597515896,-1
1597515899,-1
1597515902,-1
1597515905,-1
1597515908,-1
1597515911,-1
1597515914,-1
1597515917,-1
1597515920,-1
1597515923,-1
1597515926,-1
1597515929,-1
1597515932,-1
1597515935,-1
1597515938,-1
1597515941,-1
1597515944,-1
1597515947,-1
1597515950,-1
1597515953,-1
1597515956,-1
1597515959,-1
1597515962,-1
1597515965,-1
1597515968,-1
1597515971,-1
1597515974,-1
1597515977,-1
1597515980,-1
1597515983,-1
1597515986,-1
1597515989,-1
1597515992,-1
1597515995,-1
1597515998,-1
1597516001,-1
1597516004,-1
1597516007,-1
1597516010,-1
1597516013,-1
1597516016,-1
1597516019,-1
1597516022,-1
1597516025,-1
1597516028,-1
1597516031,-1
1597516034,-1
1597516037,-1
1597516040,-1
1597516043,-1
1597516046,-1
1597516049,-1
1597516052,-1
